Unnamed: 0,name,url,year,certificate,rating,votes,plot,Action,Adventure,Comedy,Crime,Family,Fantasy,Mystery,Sci-Fi,Thriller
52,Mortal Kombat 11,https://www.imdb.com/title/tt9398566/?ref_=adv_li_tt,2019.0,M,7.8,3493.0,"When a time lord starts merging past with the present, versions of heroes from both Mortal Kombat timelines must unite to right past wrongs and save the world.",True,True,False,False,False,True,False,False,False
53,Batman: Arkham Asylum,https://www.imdb.com/title/tt1282022/?ref_=adv_li_tt,2009.0,T,9.2,27584.0,You control Batman as he fights to subdue The Joker and his fellow inmates when they seize control of the Asylum on Arkham Island.,True,True,False,True,False,False,False,False,False
54,Lego Star Wars: The Skywalker Saga,https://www.imdb.com/title/tt10461542/?ref_=adv_li_tt,2022.0,E10+,9.0,1627.0,Play through all nine Star Wars films in a LEGO Game of epic proportions.,True,True,True,False,False,False,False,False,False
55,Assassin's Creed IV: Black Flag,https://www.imdb.com/title/tt2739708/?ref_=adv_li_tt,2013.0,M,8.7,16919.0,"A video game where you play as sailor, privateer and assassin Edward Kenway exploring on and around the islands in the Caribbean Sea during the early 17th century.",True,True,False,False,False,False,False,False,False
56,Uncharted: The Lost Legacy,https://www.imdb.com/title/tt6304452/?ref_=adv_li_tt,2017.0,T,8.5,7173.0,"Chloe returns in The Lost Legacy on the hunt for an ancient Indian artifact, the fabled Tusk of Ganesh. To help uncover the Tusk and keep it out of the hands of a ruthless warmonger, she enlists the help of mercenary Nadine Ross.",True,True,False,False,False,False,True,False,False
57,Injustice 2,https://www.imdb.com/title/tt5769154/?ref_=adv_li_tt,2017.0,T,8.5,3939.0,"Following the end of Superman's totalitarian reign over the Earth, Batman and his allies attempt to piece the world back together only to be faced with a new threat that will cause them to do the unthinkable.",True,True,False,False,False,True,False,False,False
58,Predator: Hunting Grounds,https://www.imdb.com/title/tt10437042/?ref_=adv_li_tt,2020.0,M,6.1,288.0,Survive the Predator's hunt or hunt down a fire-team.,True,True,False,False,False,False,False,False,False
59,Uncharted 3: Drake's Deception,https://www.imdb.com/title/tt1800763/?ref_=adv_li_tt,2011.0,T,9.0,21974.0,"Treasure hunter Nathan Drake embarks on a quest in search of the Atlantis of the Sands while battling an ancient, sinister organization.",True,True,False,False,False,True,False,False,False
60,Mass Effect,https://www.imdb.com/title/tt1073668/?ref_=adv_li_tt,2007.0,M,9.1,18158.0,"In a technologically advanced future, an elite human soldier takes command of a prototype star ship and works to defend the galaxy from danger.",True,True,False,False,False,False,False,False,False
61,Assassin's Creed II,https://www.imdb.com/title/tt1201133/?ref_=adv_li_tt,2009.0,M,9.1,23066.0,"Desmond Miles is trained to become a modern-day Assassin through the resurrected memories of ancestor Ezio Auditore da Firenze, who uncovers a massive Templar conspiracy in Renaissance Italy leading to the new Pope.",True,True,False,False,False,False,False,True,False
