Unnamed: 0,name,url,year,certificate,rating,votes,plot,Action,Adventure,Comedy,Crime,Family,Fantasy,Mystery,Sci-Fi,Thriller
107,Call of Duty: Black Ops Cold War,https://www.imdb.com/title/tt12929868/?ref_=adv_li_tt,2020.0,M,7.1,2368.0,"Set during the early 80s of the Cold War, the campaign follows CIA operative Russel Adler as he pursues an alleged Soviet spy, whose goal is to subvert the United States and tilt the balance of power towards the Soviet Union.",True,False,False,False,False,False,False,False,False
108,BioShock,https://www.imdb.com/title/tt1094581/?ref_=adv_li_tt,2007.0,M,9.1,19731.0,"In 1960, a lone survivor of a plane crash named Jack discovers an abandoned underwater utopia, only to find out that the mystery behind its creation is much more sinister than he first believed.",True,True,False,False,False,False,False,False,False
109,Borderlands 3,https://www.imdb.com/title/tt10101078/?ref_=adv_li_tt,2019.0,M,8.1,1848.0,"In this FPS/RPG, Troy and Tyreen Calypso learn of other Vaults beyond the planet Pandora, and form a violent cult named the ""Children of the Vault"" to gain possession of them, while Lilith recruits the ""Vault Hunter"" to get to them first.",True,True,True,False,False,False,False,False,False
110,Evil Dead: The Game,https://www.imdb.com/title/tt13804506/?ref_=adv_li_tt,2022.0,M,8.5,241.0,Step into the shoes of Ash Williams or his friends from the iconic Evil Dead franchise and work together in a game loaded with over-the-top co-op and PVP multiplayer action.,True,False,False,False,False,True,False,False,False
111,Halo Infinite,https://www.imdb.com/title/tt9437014/?ref_=adv_li_tt,2021.0,T,8.3,1883.0,"When all hope is lost and humanity's fate hangs in the balance, Master Chief is ready to confront the most ruthless foe he's ever faced.",True,True,False,False,False,False,True,False,False
112,Dragon Age: Inquisition,https://www.imdb.com/title/tt3763912/?ref_=adv_li_tt,2014.0,M,8.6,4902.0,"When the Conclave is destroyed, leaving only one survivor, demons are loosed up on the world. In an attempt to restore order and save the world, the survivor--now the inquisitor-- instigates the long forgotten inquisition.",True,True,False,False,False,True,False,False,False
113,Tekken 7,https://www.imdb.com/title/tt5473860/?ref_=adv_li_tt,2015.0,T,7.5,1055.0,"After the events of Tekken 6, though Azazel was destroyed by Jin Kazama, the war between the Mishima Zaibatsu and G Corporation continues to ravage the world leading up to the final battle between Heihachi Mishima and his son, Kazuya.",True,True,False,False,False,False,False,False,False
114,Big Rumble Boxing: Creed Champions,https://www.imdb.com/title/tt19246200/?ref_=adv_li_tt,2021.0,,6.0,12.0,"Do you have what it takes to be a champion? Train, fight, and win like Adonis Creed, Rocky Balboa, and more boxing legends in this knockout boxing game.",True,False,False,False,False,False,False,False,False
115,Fallout 3,https://www.imdb.com/title/tt1073664/?ref_=adv_li_tt,2008.0,M,9.1,18904.0,"Centuries following nuclear war, a teen leaves the safety of an underground vault in order to find their father, who left in hopes of creating a water purifier.",True,True,False,False,False,False,False,True,False
117,Mafia III,https://www.imdb.com/title/tt4936406/?ref_=adv_li_tt,2016.0,M,7.0,4064.0,"After the murder of his surrogate family at the hands of the Italian mafia, Vietnam War veteran Lincoln Clay seeks vengeance on those who took away the only thing that mattered to him.",True,False,False,True,False,False,False,False,False
118,Beyond: Two Souls,https://www.imdb.com/title/tt2192570/?ref_=adv_li_tt,2013.0,M,8.4,11915.0,"Live the life of Jodie Holmes, a young woman who possesses supernatural powers through her psychic link to a mysterious invisible entity.",True,True,False,False,False,False,False,False,False
119,Rise of the Tomb Raider,https://www.imdb.com/title/tt3791072/?ref_=adv_li_tt,2015.0,M,8.5,9360.0,"Lara Croft continues her late father's research, trekking across Siberia in search of the answers her father couldn't find, facing off against an ancient and ruthless shadow organisation.",True,True,False,False,False,True,False,False,False
120,Max Payne 3,https://www.imdb.com/title/tt1407064/?ref_=adv_li_tt,2012.0,M,8.6,10501.0,"The ex-cop turned private security guard for a wealthy family in Sao Paulo, Brazil finds himself thrown into a new deadly conflict.",True,False,False,True,False,False,False,False,False
121,A Way Out,https://www.imdb.com/title/tt8181422/?ref_=adv_li_tt,2018.0,M,8.0,2848.0,"Prison inmates Vincent and Leo initially clash, but after Vincent helps Leo win a fight, they warm up to each other and decide to escape together.",True,True,False,True,False,False,False,False,False
122,Mafia II,https://www.imdb.com/title/tt1181833/?ref_=adv_li_tt,2010.0,M,8.5,10355.0,"The chronicles of Vito Scalletta, a young Italian immigrant who joins the Italian mafia, but soon gets in over his head when illegal drug dealing and deception take place.",True,False,False,True,False,False,False,False,False
123,Dying Light,https://www.imdb.com/title/tt3706490/?ref_=adv_li_tt,2015.0,M,8.2,4182.0,"First-person action survival game set in a post-apocalyptic open world overrun by flesh-hungry zombies. Roam a city devastated by a mysterious virus epidemic. Scavenge for supplies, craft weapons, and face hordes of the infected.",True,True,False,False,False,False,False,False,False
124,Lego Dimensions,https://www.imdb.com/title/tt4656392/?ref_=adv_li_tt,2015.0,E10+,7.7,998.0,"When a mysterious and powerful vortex appears in various lego worlds, Batman, Gandalf and Wyldstyle bravely jump into the vortex and travel through space and time to rescue their friends.",True,True,True,False,False,False,False,False,False
125,Yakuza 0,https://www.imdb.com/title/tt3983144/?ref_=adv_li_tt,2015.0,M,8.9,1482.0,"Kiryu and Majima, both Yakuza's who are in different cities in Japan in 1988, as the fate of the two characters become intertwined in a gritty, violent, and often touching narrative.",True,False,False,True,False,False,False,False,False
126,Bully,https://www.imdb.com/title/tt0888006/?ref_=adv_li_tt,2006.0,T,8.6,5222.0,A troubled teen is dropped off at the worst school in the country and must survive by rising through the rankings of the school system.,True,False,True,False,False,False,False,False,False
127,Quantum of Solace,https://www.imdb.com/title/tt1139644/?ref_=adv_li_tt,2008.0,T,6.7,9489.0,James Bond battles the evil Quantum organization as well as a new enemy.,True,True,False,False,False,False,False,False,True
128,James Bond 007: Everything or Nothing,https://www.imdb.com/title/tt0366629/?ref_=adv_li_tt,2003.0,T,7.9,2405.0,"007 and Serena St. Germaine discover that Katya Nadonova's project, nanobots designed to repair nuclear reactors; have been stolen by Nikolai Diavolo. Together the two set off to new Orleans and beyond to confront Diavolo.",True,True,False,False,False,False,False,True,False
129,Devil May Cry 5,https://www.imdb.com/title/tt8651604/?ref_=adv_li_tt,2019.0,M,8.5,2004.0,"Years have passed since the legions of hell have set foot in this world, but now a new demonic invasion has begun, and humanity's last hope will rest in the hands of three lone demon hunters, each offering a radically different play style.",True,True,False,False,False,True,False,False,False
130,Bloodborne,https://www.imdb.com/title/tt3814634/?ref_=adv_li_tt,2015.0,M,9.2,5444.0,"A hunter awakens in the plagued lands of Yharnam, where the denizens have succumb to beast hood, in an attempt to learn the truth and how to end the plague, unbeknownst of the true horror lurking within the city.",True,True,False,False,False,True,False,False,False
131,God of War II,https://www.imdb.com/title/tt0846694/?ref_=adv_li_tt,2007.0,M,9.2,9109.0,"After being betrayed by the gods of Olympus and annulled of his divine powers, Kratos must embark on a journey to meet the Sisters of Fate and take his revenge on Olympus.",True,True,False,False,False,True,False,False,False
132,Call of Duty: Black Ops II,https://www.imdb.com/title/tt2387409/?ref_=adv_li_tt,2012.0,M,8.0,13949.0,"Set in 2025, new unmanned machines have been taken over by Nicaraguan terrorist, Raul Menendez, forcing the U.S.A. to take action.",True,True,False,False,False,False,False,False,False
133,Sleeping Dogs,https://www.imdb.com/title/tt2241982/?ref_=adv_li_tt,2012.0,M,8.3,6907.0,"Asian-American cop Wei Shen goes undercover in Hong Kong to infiltrate a Triad organization. However, he is soon torn between his duty as a police officer and the organization he helped rise through the ranks.",True,False,False,True,False,False,False,False,False
134,Spider-Man 2,https://www.imdb.com/title/tt0411906/?ref_=adv_li_tt,2004.0,T,7.8,5225.0,Spider-Man/Peter Parker struggles between his personal life which involves Mary Jane Watson and his superhero life where he joins up with a vigilante known as Black Cat battling a series of foes including the mad Doc Ock.,True,True,False,True,False,False,False,False,False
135,Sekiro: Shadows Die Twice,https://www.imdb.com/title/tt8558306/?ref_=adv_li_tt,2019.0,M,8.8,3057.0,"Set in a reimagining of 1500s Sengoku era Japan. An unnamed shinobi, tasked with protecting a young lord of mystical lineage, who is left for dead when a powerful samurai attacks and chops off his arm.",True,True,False,False,False,True,False,False,False
136,Middle-Earth: Shadow of War,https://www.imdb.com/title/tt6579422/?ref_=adv_li_tt,2017.0,M,8.2,2607.0,"The sequel to the critically acclaimed Middle-Earth: Shadow of Mordor (2014) features an original story with the return of Talion and Celebrimbor, who must go behind enemy lines to forge an army and turn all of Mordor against the Dark Lord Sauron.",True,True,False,False,False,True,False,False,False
137,Overwatch,https://www.imdb.com/title/tt4332152/?ref_=adv_li_tt,2016.0,T,8.3,4912.0,"After a devastating war against a combat-ready team of intelligent machines known as Omnics, the former agents of the heroic team known as Overwatch must join forces once more to fight a new threat.",True,True,False,False,False,True,False,False,False
138,James Bond: World of Espionage,https://www.imdb.com/title/tt5177694/?ref_=adv_li_tt,2015.0,,6.0,172.0,Add a Plot,True,False,False,False,False,False,False,False,False
139,Hitman 3,https://www.imdb.com/title/tt12497188/?ref_=adv_li_tt,2021.0,M,8.5,1129.0,"Together with Diana Burnwood and Lucas Grey, Agent 47 must face off against The Constant and his mysterious colleagues to take down Providence once and for all.",True,False,False,True,False,False,True,False,False
